day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct,repo_watch_event_count,repo,user_event_count,username
160,9,1,23,6,2,2019,1096905,266246,830659,1655,TrillCyborg/onefraction,28,tadevosyanl
161,10,2,23,6,2,2019,1781086,571070,1210016,1685,TrillCyborg/fullstack,66,kgryte
162,11,3,23,6,2,2019,1911290,648293,1262997,1767,TrillCyborg/fullstack,56,kgryte
163,12,4,23,6,2,2019,1902919,644862,1258057,1040,TrillCyborg/fullstack,63,moonny76
164,13,5,23,6,2,2019,1888395,637249,1251146,816,TrillCyborg/fullstack,51,efiand
165,14,6,23,6,2,2019,1698211,578914,1119297,938,kefranabg/readme-md-generator,52,rcaa
166,15,7,23,6,2,2019,1053556,265157,788399,718,lydiahallie/javascript-questions,20,kdrozdov
167,16,1,24,6,2,2019,1080995,258160,822835,729,lydiahallie/javascript-questions,25,0pdd
168,17,2,24,6,2,2019,1767629,603561,1164068,1548,lydiahallie/javascript-questions,38,devshgraphicsprogramming
169,18,3,24,6,2,2019,1827763,638472,1189291,3245,libra/libra,32,JuliaRegistrator
170,19,4,24,6,2,2019,1816924,632249,1184675,2551,libra/libra,75,codeviking
171,20,5,24,6,2,2019,1789041,612731,1176310,1437,zihangdai/xlnet,41,MykolaSolyanko
172,21,6,24,6,2,2019,1676880,581802,1095078,981,libra/libra,78,MykolaSolyanko
173,22,7,24,6,2,2019,1073483,280541,792942,647,microsoft/mimalloc,33,MykolaSolyanko
174,23,1,25,6,2,2019,1104918,273025,831893,682,vlang/v,52,asdfg-gfdsa
175,24,2,25,6,2,2019,1814237,629390,1184847,1227,vlang/v,59,Nithin-Mahendran
176,25,3,25,6,2,2019,1902909,672547,1230362,1314,vlang/v,49,volkova229
177,26,4,25,6,2,2019,1854221,655685,1198536,787,vlang/v,36,bvcms-teamcity
178,27,5,25,6,2,2019,1851563,649302,1202261,474,vlang/v,43,kamuiroeru
179,28,6,25,6,2,2019,1620147,567717,1052430,375,bytedance/byteps,28,sev-
180,29,7,25,6,2,2019,1022344,267891,754453,1008,microsoft/WSL2-Linux-Kernel,48,kdrozdov
181,30,1,26,6,2,2019,1029105,256803,772302,2100,jesseduffield/lazydocker,83,mansayk
182,1,2,26,7,3,2019,1769908,609366,1160542,1956,jesseduffield/lazydocker,26,JuliaRegistrator
183,2,3,26,7,3,2019,1821940,633986,1187954,1188,jesseduffield/lazydocker,29,JuliaRegistrator
184,3,4,26,7,3,2019,1821597,641508,1180089,1107,jesseduffield/lazydocker,38,dev-priporov
185,4,5,26,7,3,2019,1626164,525687,1100477,756,jackfrued/Python-100-Days,119,jonorthwash
186,5,6,26,7,3,2019,1542819,507763,1035056,2512,ddbourgin/numpy-ml,81,jonorthwash
187,6,7,26,7,3,2019,1042264,258407,783857,771,ddbourgin/numpy-ml,296,ninjapanu
188,7,1,27,7,3,2019,1056395,254249,802146,471,ddbourgin/numpy-ml,55,koguzhan
189,8,2,27,7,3,2019,1815399,626539,1188860,623,ddbourgin/numpy-ml,34,adrianzaorski
190,9,3,27,7,3,2019,1905903,666430,1239473,971,Advanced-Frontend/Daily-Interview-Question,49,xamarin-release-manager
191,10,4,27,7,3,2019,1890747,663735,1227012,726,Advanced-Frontend/Daily-Interview-Question,71,ViviZa
192,11,5,27,7,3,2019,1977572,676943,1300629,831,facebook/hermes,64,norotime
193,12,6,27,7,3,2019,1785644,614772,1170872,1251,facebook/hermes,65,xavierlepretre
194,13,7,27,7,3,2019,1126995,285309,841686,428,facebook/hermes,27,xamarin-release-manager
195,14,1,28,7,3,2019,1117579,279806,837773,314,facebook/hermes,20,JuliaRegistrator
196,15,2,28,7,3,2019,1853870,632816,1221054,2544,taosdata/TDengine,57,xavierlepretre
197,16,3,28,7,3,2019,1900727,655654,1245073,1232,taosdata/TDengine,82,rouing
198,17,4,28,7,3,2019,1930143,676055,1254088,908,chrislgarry/Apollo-11,102,norotime
199,18,5,28,7,3,2019,1886137,657097,1229040,1986,guyueyingmu/avbook,117,thuongtq1983
200,19,6,28,7,3,2019,1838548,672117,1166431,2876,chrislgarry/Apollo-11,60,xavierlepretre
201,20,7,28,7,3,2019,1103711,278805,824906,2343,chrislgarry/Apollo-11,61,conda-forge-linter
202,21,1,29,7,3,2019,1127414,276944,850470,1374,chrislgarry/Apollo-11,43,xandymp
203,22,2,29,7,3,2019,1900838,685591,1215247,1662,0voice/interview_internal_reference,93,ajankenm
204,23,3,29,7,3,2019,1997273,747283,1249990,1011,0voice/interview_internal_reference,126,norotime
205,24,4,29,7,3,2019,1915450,701425,1214025,693,0voice/interview_internal_reference,78,evgenlytkin
206,25,5,29,7,3,2019,1795099,610757,1184342,885,jwasham/coding-interview-university,52,xavierlepretre
207,26,6,29,7,3,2019,1684488,573738,1110750,1070,1995parham/github-do-not-ban-us,52,demofan
208,27,7,29,7,3,2019,1078331,286798,791533,3015,1995parham/github-do-not-ban-us,84,Wubblu
209,28,1,30,7,3,2019,1140583,277360,863223,1787,1995parham/github-do-not-ban-us,55,Wubblu
210,29,2,30,7,3,2019,1874390,630463,1243927,2695,1995parham/github-do-not-ban-us,40,NICE-TeamCity
211,30,3,30,7,3,2019,1958348,666497,1291851,1594,1995parham/github-do-not-ban-us,117,mbtace
212,31,4,30,7,3,2019,1916686,658081,1258605,919,1995parham/github-do-not-ban-us,69,NICE-TeamCity
213,1,5,30,8,3,2019,1893163,660083,1233080,571,jwasham/coding-interview-university,84,MykolaSolyanko
214,2,6,30,8,3,2019,1733793,594273,1139520,469,Moosphan/Android-Daily-Interview,45,MykolaSolyanko
215,3,7,30,8,3,2019,1097951,275127,822824,809,sqshq/sampler,47,MykolaSolyanko
216,4,1,31,8,3,2019,1114396,264287,850109,417,sqshq/sampler,35,adelRestom
217,5,2,31,8,3,2019,1839557,624084,1215473,733,ziishaned/learn-regex,103,jonpugh
218,6,3,31,8,3,2019,1893727,647275,1246452,668,ricklamers/gridstudio,50,bvcms-teamcity
219,7,4,31,8,3,2019,1900357,655699,1244658,888,datawhalechina/leeml-notes,40,MykolaSolyanko
220,8,5,31,8,3,2019,1881233,656495,1224738,528,arpitjindal97/technology_books,98,kushp-argus
221,9,6,31,8,3,2019,1775735,614156,1161579,533,datawhalechina/leeml-notes,79,xavierlepretre
222,10,7,31,8,3,2019,1145995,303647,842348,477,Awesome-HarmonyOS/HarmonyOS,57,thejocus
223,11,1,32,8,3,2019,1121925,278540,843385,377,Awesome-HarmonyOS/HarmonyOS,39,MykolaSolyanko
224,12,2,32,8,3,2019,1803129,623139,1179990,2421,Awesome-HarmonyOS/HarmonyOS,66,xavierlepretre
225,13,3,32,8,3,2019,1896088,661017,1235071,3324,Awesome-HarmonyOS/HarmonyOS,49,BlackCatts
226,14,4,32,8,3,2019,1885763,658729,1227034,1619,Awesome-HarmonyOS/HarmonyOS,42,xavierlepretre
227,15,5,32,8,3,2019,1727115,590670,1136445,1423,hoanhan101/ultimate-go,56,adherent23
228,16,6,32,8,3,2019,1705848,581708,1124140,575,hoanhan101/ultimate-go,99,brho
229,17,7,32,8,3,2019,1135087,282147,852940,1015,Cocos-BCX/ERC-1808,27,MykolaSolyanko
230,18,1,33,8,3,2019,1216029,286366,929663,616,yangshun/tech-interview-handbook,51,MykolaSolyanko
231,19,2,33,8,3,2019,1920062,637757,1282305,1725,timqian/chart.xkcd,62,mrayor
232,20,3,33,8,3,2019,1953542,665707,1287835,1328,ruanyf/free-books,33,xamarin-release-manager
233,21,4,33,8,3,2019,1987623,669343,1318280,951,Cocos-BCX/JSSDK-Demo,47,xamarin-release-manager
234,22,5,33,8,3,2019,1914495,656918,1257577,575,ruanyf/free-books,53,bvcms-teamcity
235,23,6,33,8,3,2019,1763678,601327,1162351,1410,Y2Z/monolith,95,bvcms-teamcity
236,24,7,33,8,3,2019,1145412,287211,858201,1206,nushell/nushell,26,ruparocks
237,25,1,34,8,3,2019,1155210,277233,877977,459,n64decomp/sm64,81,lisa-rosenberg
238,26,2,34,8,3,2019,1717798,527149,1190649,445,nushell/nushell,61,remedcu
239,27,3,34,8,3,2019,1831225,564042,1267183,455,ziishaned/learn-regex,54,bvcms-teamcity
240,28,4,34,8,3,2019,1886763,572908,1313855,428,liyasthomas/postwoman,41,bvcms-teamcity
241,29,5,34,8,3,2019,2008449,664667,1343782,680,sharkdp/pastel,75,bvcms-teamcity
242,30,6,34,8,3,2019,1794530,589242,1205288,352,PavelDoGreat/WebGL-Fluid-Simulation,24,JuliaRegistrator
243,31,7,34,8,3,2019,1147875,281629,866246,390,Himself65/OpenArkCompiler,101,Varhagna
244,1,1,35,9,3,2019,1191723,279212,912511,500,cmiscm/leonsans,35,retarcorp
245,2,2,35,9,3,2019,1741771,526891,1214880,1743,cmiscm/leonsans,78,Pako7
246,3,3,35,9,3,2019,1946974,649666,1297308,1058,cmiscm/leonsans,86,MykolaSolyanko
247,4,4,35,9,3,2019,2005132,675506,1329626,704,cmiscm/leonsans,43,xavierlepretre
248,5,5,35,9,3,2019,1964734,667766,1296968,511,testerSunshine/12306,51,rijunayak
249,6,6,35,9,3,2019,1837289,631009,1206280,2136,google/eng-practices,43,xamarin-release-manager
250,7,7,35,9,3,2019,1206862,309647,897215,684,microsoft/PowerToys,33,micmec
251,8,1,36,9,3,2019,1282728,303773,978955,46985,M4cs/BabySploit,37,Danielle9897
252,9,2,36,9,3,2019,2025158,685136,1340022,23716,M4cs/BabySploit,48,bvcms-teamcity
253,10,3,36,9,3,2019,2025022,668608,1356414,2198,viraptor/reverse-interview,49,YannickWeber
254,11,4,36,9,3,2019,1961705,647628,1314077,959,testerSunshine/12306,51,collabTester18
255,12,5,36,9,3,2019,557535,155351,402184,556,testerSunshine/12306,37,Mike-CS157A
256,13,6,36,9,3,2019,1302173,472706,829467,338,microsoft/ai-edu,144,collabAuto
257,14,7,36,9,3,2019,1199614,291999,907615,219,viraptor/reverse-interview,32,rocka
258,15,1,37,9,3,2019,1234468,288030,946438,334,ShusenTang/Dive-into-DL-PyTorch,481,ayazhafiz
259,16,2,37,9,3,2019,2004406,663486,1340920,570,microsoft/ai-edu,532,ayazhafiz
