day_of_year,datetime,week,day_of_week,event_count,org_cnt,ind_cnt
135,2019-05-15 23:59:59 UTC,19,4,1913048,654871,1258177
136,2019-05-16 23:59:59 UTC,19,5,1885404,644525,1240879
137,2019-05-17 23:59:59 UTC,19,6,1720294,588876,1131418
138,2019-05-18 23:59:59 UTC,19,7,1104451,282192,822259
139,2019-05-19 23:59:59 UTC,20,1,1156454,280429,876025
140,2019-05-20 23:59:59 UTC,20,2,1798921,604940,1193981
141,2019-05-21 23:59:59 UTC,20,3,1905163,638617,1266546
142,2019-05-22 23:59:59 UTC,20,4,1881536,635401,1246135
143,2019-05-23 23:59:59 UTC,20,5,1893509,643879,1249630
144,2019-05-24 23:59:59 UTC,20,6,1743111,598881,1144230
145,2019-05-25 23:59:59 UTC,20,7,1112112,294126,817986
146,2019-05-26 23:59:59 UTC,21,1,1100546,268827,831719
147,2019-05-27 23:59:59 UTC,21,2,1652018,501516,1150502
148,2019-05-28 23:59:59 UTC,21,3,1879353,635936,1243417
149,2019-05-29 23:59:59 UTC,21,4,1794698,601485,1193213
150,2019-05-30 23:59:59 UTC,21,5,1818088,597682,1220406
151,2019-05-31 23:59:59 UTC,21,6,1767137,581985,1185152
152,2019-06-01 23:59:59 UTC,21,7,1126928,291159,835769
153,2019-06-02 23:59:59 UTC,22,1,1139035,277044,861991
154,2019-06-03 23:59:59 UTC,22,2,1814669,615748,1198921
155,2019-06-04 23:59:59 UTC,22,3,1892186,643870,1248316
156,2019-06-05 23:59:59 UTC,22,4,1901771,649602,1252169
157,2019-06-06 23:59:59 UTC,22,5,1883925,632464,1251461
158,2019-06-07 23:59:59 UTC,22,6,1620873,552280,1068593
159,2019-06-08 23:59:59 UTC,22,7,1052975,269930,783045
160,2019-06-09 23:59:59 UTC,23,1,1096905,266246,830659
161,2019-06-10 23:59:59 UTC,23,2,1781086,571070,1210016
162,2019-06-11 23:59:59 UTC,23,3,1911290,648293,1262997
163,2019-06-12 23:59:59 UTC,23,4,1902919,644862,1258057
164,2019-06-13 23:59:59 UTC,23,5,1888395,637249,1251146
165,2019-06-14 23:59:59 UTC,23,6,1698211,578914,1119297
166,2019-06-15 23:59:59 UTC,23,7,1053556,265157,788399
167,2019-06-16 23:59:59 UTC,24,1,1080995,258160,822835
168,2019-06-17 23:59:59 UTC,24,2,1767629,603561,1164068
169,2019-06-18 23:59:59 UTC,24,3,1827763,638472,1189291
170,2019-06-19 23:59:59 UTC,24,4,1816924,632249,1184675
171,2019-06-20 23:59:59 UTC,24,5,1789041,612731,1176310
172,2019-06-21 23:59:59 UTC,24,6,1676880,581802,1095078
173,2019-06-22 23:59:59 UTC,24,7,1073483,280541,792942
174,2019-06-23 23:59:59 UTC,25,1,1104918,273025,831893
175,2019-06-24 23:59:59 UTC,25,2,1814237,629390,1184847
176,2019-06-25 23:59:59 UTC,25,3,1902909,672547,1230362
177,2019-06-26 23:59:59 UTC,25,4,1854221,655685,1198536
178,2019-06-27 23:59:59 UTC,25,5,1851563,649302,1202261
179,2019-06-28 23:59:59 UTC,25,6,1620147,567717,1052430
180,2019-06-29 23:59:59 UTC,25,7,1022344,267891,754453
